True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
-1,0,0,-0.999578,-0.000208131,-0.00137471,0.000470222,0.00137471,10,93,1
-0.9,0,0,-0.901028,-0.00253241,-0.00347005,0.00273303,0.00347005,10,87,1
-0.8,0,0,-0.800526,0.00243015,0.000831578,0.00248632,0.000831578,9,79,1
-0.7,0,0,-0.702838,0.00115563,3.42565e-05,0.00306437,3.42565e-05,9,80,1
-0.6,0,0,-0.604108,0.00115393,-0.000478655,0.00426725,0.000478655,8,70,1
-0.5,0,0,-0.490982,0.00026652,0.00185468,0.00902164,0.00185468,15,131,1
-0.4,0,0,-0.391118,0.000319491,0.00190224,0.00888787,0.00190224,15,130,1
-0.3,0,0,-0.294557,-0.000749566,-0.00113791,0.00549436,0.00113791,7,61,1
-0.2,0,0,-0.207049,0.00282064,0.00175926,0.00759207,0.00175926,7,62,1
-0.1,0,0,-0.0991669,0.00110149,-3.74304e-05,0.00138104,3.74304e-05,5,43,1
0,0,0,-1.39781e-06,-1.39781e-06,-2.19735e-06,1.9768e-06,2.19735e-06,1,9,1
0.1,0,0,0.0981367,-0.00125771,-0.00039082,0.00224802,0.00039082,5,43,1
0.2,0,0,0.192646,0.00359345,0.00539586,0.00818478,0.00539586,6,53,1
0.3,0,0,0.293741,0.00133298,0.00190001,0.00639963,0.00190001,7,61,1
0.4,0,0,0.409082,-0.00243435,-0.00201544,0.00940261,0.00201544,18,157,1
0.5,0,0,0.507316,-0.00411818,-0.00673545,0.0083951,0.00673545,6,52,1
0.6,0,0,0.604964,-0.00241696,-0.00489824,0.00552137,0.00489824,6,53,1
0.7,0,0,0.694131,0.000744358,0.00158547,0.00591604,0.00158547,8,70,1
0.8,0,0,0.791632,0.00048135,-0.000316456,0.00838226,0.000316456,12,106,1
0.9,0,0,0.906724,-0.00319149,-0.00041186,0.00744337,0.00041186,9,78,1
1,0,0,1.00121,0.000668392,0.00408171,0.0013855,0.00408171,10,88,1
