True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
0,0,-50,-0.0534287,-0.0233162,-49.0377,0.0582947,-0.962274,32,283,1
0,0,-45,-0.0476339,-0.0284464,-44.0899,0.0554813,-0.910077,30,261,1
0,0,-40,-0.0469549,-0.0315594,-39.067,0.0565752,-0.932958,29,251,1
0,0,-35,-0.0454843,-0.0367938,-33.9655,0.058503,-1.03452,28,243,1
0,0,-30,-0.0413409,-0.0411669,-28.9652,0.058342,-1.03477,27,234,1
0,0,-25,-0.0389569,-0.0455978,-23.9176,0.0599733,-1.0824,25,215,1
0,0,-20,-0.0357916,-0.0500631,-18.8969,0.0615415,-1.10315,22,191,1
0,0,-15,-0.03037,-0.0512255,-13.9411,0.0595516,-1.05891,19,165,1
0,0,-10,-0.0230522,-0.0499369,-9.09753,0.0550009,-0.902468,16,138,1
0,0,-5,-0.0207651,-0.0539891,-4.04324,0.0578448,-0.956761,10,86,1
0,0,0,-1.39781e-06,-1.39781e-06,-2.19735e-06,1.9768e-06,2.19735e-06,1,8,1
0,0,5,0.017496,0.0590976,3.97852,0.0616331,1.02148,10,87,1
0,0,10,0.0104005,0.0621603,8.94555,0.0630244,1.05445,17,148,1
0,0,15,0.00695111,0.0581794,14.04,0.0585932,0.960022,23,201,1
0,0,20,0.00146281,0.0581822,19.055,0.0582006,0.94495,30,259,1
0,0,25,-0.00603486,0.0629173,23.9399,0.0632061,1.06011,35,303,1
0,0,30,-0.00936595,0.061043,28.9723,0.0617574,1.02765,40,344,1
0,0,35,-0.0146462,0.0598947,33.9724,0.0616594,1.02762,46,397,1
0,0,40,-0.0184977,0.0523334,39.0811,0.0555062,0.918917,51,440,1
0,0,45,-0.0272076,0.0571812,43.9399,0.0633241,1.06007,53,463,1
0,0,50,-0.0283898,0.0515619,49.0419,0.058861,0.958072,58,505,1
