True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
0,0,-50,-0.0022335,-0.002536,-49.9739,0.00337932,-0.0260817,43,375,1
0,0,-45,-0.00212087,-0.000634813,-44.9833,0.00221384,-0.0167039,41,353,1
0,0,-40,-0.00195025,-0.00267846,-39.9761,0.00331325,-0.0239239,40,346,1
0,0,-35,-0.00146938,-0.00239949,-34.9738,0.00281365,-0.0262182,40,346,1
0,0,-30,-0.00146679,-0.00357322,-29.967,0.00386256,-0.032994,39,334,1
0,0,-25,-0.000698831,-0.00349783,-24.9548,0.00356696,-0.045213,37,329,1
0,0,-20,-0.00104103,-0.00400026,-19.9525,0.0041335,-0.0475187,34,293,1
0,0,-15,-0.000668329,-0.00338692,-14.9731,0.00345223,-0.0268682,31,266,1
0,0,-10,-0.000828668,-0.00213845,-9.98009,0.0022934,-0.0199117,27,234,1
0,0,-5,0.000231585,-0.00354369,-4.96953,0.00355125,-0.0304666,21,182,1
0,0,0,-1.39781e-05,-1.39781e-05,-2.19735e-05,1.9768e-05,2.19735e-05,1,9,1
0,0,5,-0.000122694,0.00316964,4.97965,0.00317201,0.0203506,22,188,1
0,0,10,-0.00124836,0.00251733,9.97296,0.00280986,0.0270445,29,251,1
0,0,15,0.00118695,0.00212144,14.986,0.00243092,0.0139517,35,302,1
0,0,20,0.00143111,0.00206215,19.9864,0.00251009,0.0135882,42,361,1
0,0,25,-0.00199816,0.00202009,24.9724,0.00284137,0.0276351,47,404,1
0,0,30,-0.00173222,0.00262895,29.9767,0.00314833,0.0233474,52,469,1
0,0,35,-0.00152258,0.00243362,34.9777,0.00287067,0.0222644,58,504,1
0,0,40,-0.00290555,0.00135274,39.9698,0.00320501,0.0301811,62,557,1
0,0,45,-0.00237358,0.00116512,44.9718,0.00264412,0.0281563,65,562,1
0,0,50,-0.00133275,0.00229751,49.9827,0.00265609,0.0173347,70,609,1
