True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
0,-1,0,0.000138889,-0.967679,-0.363009,0.0323211,0.363009,3,32,1
0,-0.9,0,-0.00211218,-0.870434,-0.329295,0.0296413,0.329295,3,28,1
0,-0.8,0,-0.00213261,-0.773362,-0.303365,0.0267231,0.303365,3,28,1
0,-0.7,0,-0.00310643,-0.677623,-0.25521,0.0225918,0.25521,3,28,1
0,-0.6,0,-0.000186283,-0.580052,-0.227985,0.0199484,0.227985,3,27,1
0,-0.5,0,0.00201044,-0.483156,-0.19764,0.0169634,0.19764,3,27,1
0,-0.4,0,0.00173592,-0.386668,-0.145593,0.013445,0.145593,3,27,1
0,-0.3,0,0.00220257,-0.294626,-0.0831122,0.00580761,0.0831122,3,26,1
0,-0.2,0,-2.59533e-05,-0.186119,-0.0847032,0.0138811,0.0847032,2,17,1
0,-0.1,0,0.00675536,-0.097105,-0.0348155,0.00734957,0.0348155,2,18,1
0,0,0,-1.39781e-06,-1.39781e-06,-2.19735e-06,1.9768e-06,2.19735e-06,1,9,1
0,0.1,0,-0.00657712,0.0945349,0.026441,0.00855139,0.026441,2,19,1
0,0.2,0,0.0017064,0.184789,0.0845704,0.0153066,0.0845704,2,18,1
0,0.3,0,-0.00107898,0.292124,0.0864148,0.00794925,0.0864148,3,32,1
0,0.4,0,0.000374078,0.387412,0.138313,0.012594,0.138313,3,27,1
0,0.5,0,0.00472405,0.484175,0.20279,0.0165152,0.20279,3,27,1
0,0.6,0,0.00599832,0.577824,0.250549,0.0229732,0.250549,3,27,1
0,0.7,0,0.0093494,0.671935,0.30264,0.0295814,0.30264,3,32,1
0,0.8,0,0.0114854,0.767863,0.359802,0.0341277,0.359802,3,31,1
0,0.9,0,0.0144578,0.867777,0.373603,0.0353174,0.373603,3,30,1
0,1,0,0.0178839,0.966424,0.414214,0.0380415,0.414214,3,29,1
