True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
0,0,-60,2.2549,-4.5768,27.8166,5.10213,87.8166,101,51,0
0,0,-60,2.04001,-5.38275,29.9249,5.75635,89.9249,101,37,0
0,0,-60,2.21134,-4.3388,29.7881,4.86982,89.7881,101,49,0
0,0,-60,1.64476,-5.26785,29.0567,5.51865,89.0567,101,36,0
0,0,-60,2.14933,-4.87645,30.7882,5.3291,90.7882,101,36,0
0,0,-60,1.63613,-4.56384,27.9976,4.84826,87.9976,101,36,0
0,0,-60,2.0225,-4.90495,29.1544,5.30557,89.1544,101,36,0
0,0,-60,1.9082,-5.53158,29.5212,5.85146,89.5212,101,36,0
0,0,-60,1.964,-4.50115,29.1012,4.91097,89.1012,101,36,0
0,0,-60,1.8928,-4.90154,28.9443,5.25431,88.9443,101,36,0
0,0,-60,1.95993,-4.31976,27.8963,4.7436,87.8963,101,36,0
0,0,-60,1.64003,-4.73559,28.3708,5.01154,88.3708,101,36,0
0,0,-60,1.90626,-4.99531,27.2896,5.34668,87.2896,101,37,0
0,0,-60,1.14863,-4.52972,30.8965,4.67308,90.8965,101,36,0
0,0,-60,2.01836,-4.80259,29.1192,5.20948,89.1192,101,37,0
0,0,-60,2.2344,-5.12538,31.6874,5.59125,91.6874,101,39,0
0,0,-60,2.44946,-4.769,28.6731,5.36127,88.6731,101,37,0
0,0,-60,2.19494,-5.21485,28.8523,5.65795,88.8523,101,38,0
0,0,-60,1.81934,-3.98184,30.2395,4.37779,90.2395,101,37,0
0,0,-60,2.07214,-4.93507,29.241,5.35245,89.241,101,37,0
0,0,-55,-0.00274282,-0.000689098,-54.9648,0.00282806,0.0351969,44,16,1
0,0,-55,-8.39747e-05,0.00243946,-54.9678,0.00244091,0.0321898,42,15,1
0,0,-55,0.0173241,0.00972626,-54.9777,0.0198677,0.0223206,101,36,0
0,0,-55,-0.00533274,-0.00183662,-54.9481,0.00564015,0.051941,44,16,1
0,0,-55,2.14156,-4.65834,34.0128,5.12703,89.0128,101,36,0
0,0,-55,0.0019412,0.00105728,-54.9818,0.00221045,0.0182331,48,17,1
0,0,-55,2.28082,-5.36668,33.7906,5.83124,88.7906,101,36,0
0,0,-55,2.46377,-4.5214,32.4808,5.1491,87.4808,101,37,0
0,0,-55,2.6466,-5.27973,25.8578,5.90594,80.8578,101,36,0
0,0,-55,2.09602,-4.88105,33.524,5.31205,88.524,101,36,0
0,0,-55,3.27399,-4.81165,33.832,5.81988,88.832,101,38,0
0,0,-55,2.99113,-4.26384,34.8767,5.20838,89.8767,101,39,0
0,0,-55,2.21091,-5.90943,33.8462,6.30948,88.8462,101,37,0
0,0,-55,1.97599,-4.58405,36.7023,4.9918,91.7023,101,38,0
0,0,-55,2.38641,-4.58178,31.3515,5.16601,86.3515,101,38,0
0,0,-55,-0.00675091,-0.00395462,-54.9731,0.00782392,0.026869,44,16,1
0,0,-55,1.93517,-4.69011,37.187,5.07366,92.187,101,37,0
