True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
-1,0,0,-0.959368,0.00601776,-0.389366,0.041075,0.389366,4,4,1
-0.9,0,0,-0.901651,0.00307344,0.083701,0.00348879,0.083701,4,1,1
-0.8,0,0,-0.781856,0.00935044,-0.247532,0.0204119,0.247532,4,1,1
-0.7,0,0,-0.683084,0.0160342,-0.164669,0.0233078,0.164669,4,1,1
-0.6,0,0,-0.606319,0.00312543,-0.0179015,0.00704989,0.0179015,4,2,1
-0.5,0,0,-0.495393,-0.00871662,0.0573216,0.00985944,0.0573216,4,2,1
-0.4,0,0,-0.348788,-0.0287037,-0.0405578,0.0587073,0.0405578,3,1,1
-0.3,0,0,-0.310871,0.00432677,-0.0120858,0.0117001,0.0120858,4,1,1
-0.2,0,0,-0.196294,0.0135207,0.00468368,0.0140194,0.00468368,3,1,1
-0.1,0,0,-0.114493,0.00486824,-0.0218943,0.015289,0.0218943,2,0,1
0,0,0,-1.39781e-06,-1.39781e-06,-2.0303e-06,1.9768e-06,2.0303e-06,1,0,1
0.1,0,0,0.0432415,0.00761384,-0.0242596,0.0572669,0.0242596,1,0,1
0.2,0,0,0.210822,-0.00994741,0.0298397,0.0146993,0.0298397,3,1,1
0.3,0,0,0.295944,-0.00427994,0.0886244,0.00589659,0.0886244,3,1,1
0.4,0,0,0.364958,0.00712923,0.0211833,0.0357599,0.0211833,3,1,1
0.5,0,0,0.492059,-0.00557317,0.01695,0.00970188,0.01695,3,1,1
0.6,0,0,0.576733,-0.00452809,0.109452,0.0237039,0.109452,3,1,1
0.7,0,0,0.692685,-0.00836372,0.112358,0.0111112,0.112358,4,1,1
0.8,0,0,0.79671,-0.0261749,0.124262,0.0263809,0.124262,4,1,1
0.9,0,0,0.894613,-0.00554928,0.026896,0.0077342,0.026896,4,1,1
1,0,0,1.00509,-0.0135091,0.0572946,0.0144375,0.0572946,5,1,1
