True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
-1,0,0,-1.00227,-0.021121,-0.0432625,0.0212423,0.0432625,101,54,0
-1,0,0,-0.994468,0.000204574,-0.00964014,0.00553601,0.00964014,8,3,1
-1,0,0,-1.00364,0.00455737,-0.00893714,0.00583435,0.00893714,10,3,1
-1,0,0,-1.00252,0.00227366,-0.0356583,0.00339173,0.0356583,9,3,1
-1,0,0,-0.984457,0.00974389,-0.134562,0.0183443,0.134562,7,2,1
-1,0,0,-1.00267,-0.0143042,-0.0083789,0.0145507,0.0083789,101,36,0
-1,0,0,-1.00467,0.00245339,-0.017284,0.00527463,0.017284,8,2,1
-1,0,0,-0.995674,0.00343947,-0.0311332,0.00552706,0.0311332,8,2,1
-1,0,0,-0.995228,0.01641,0.00969891,0.0170899,0.00969891,101,35,0
-1,0,0,-1.00448,-8.62947e-05,0.0174826,0.00448036,0.0174826,7,2,1
-1,0,0,-1.00162,-0.0177257,-0.0243228,0.0177996,0.0243228,101,36,0
-1,0,0,-0.99629,0.0189685,0.0288942,0.0193279,0.0288942,101,35,0
-1,0,0,-0.996062,0.00457529,-0.0162338,0.00603639,0.0162338,8,3,1
-1,0,0,-0.994061,0.015235,0.0222277,0.0163516,0.0222277,101,36,0
-1,0,0,-1.00268,-0.0142625,-0.0275157,0.0145112,0.0275157,101,35,0
-1,0,0,-0.996731,-0.00292506,0.0174971,0.00438651,0.0174971,7,2,1
-1,0,0,-0.99512,0.0165035,0.0168437,0.0172099,0.0168437,101,35,0
-1,0,0,-0.974262,0.0151339,-0.24255,0.0298579,0.24255,7,2,1
-1,0,0,-0.999559,-0.000451011,-0.0445831,0.000631021,0.0445831,7,2,1
-1,0,0,-0.997228,0.0310498,-0.249677,0.0311732,0.249677,5,1,1
-0.9,0,0,-0.896572,-0.0132853,-0.0156278,0.0137204,0.0156278,101,37,0
-0.9,0,0,-0.902061,-0.0173366,-0.0192548,0.0174586,0.0192548,101,36,0
-0.9,0,0,-0.901259,0.00669116,-0.00942784,0.00680858,0.00942784,11,3,1
-0.9,0,0,-0.897081,0.0120885,0.033018,0.012436,0.033018,101,35,0
-0.9,0,0,-0.89875,0.0195836,0.0256392,0.0196234,0.0256392,101,35,0
-0.9,0,0,-0.904139,-0.00280555,0.0130629,0.00500059,0.0130629,7,2,1
-0.9,0,0,-0.899498,0.00405604,-0.021299,0.00408698,0.021299,6,2,1
-0.9,0,0,-0.901991,-0.0153819,-0.0086245,0.0155102,0.0086245,101,35,0
-0.9,0,0,-0.898125,0.0173605,0.0355942,0.0174615,0.0355942,101,36,0
-0.9,0,0,-0.900578,0.0192461,0.0143127,0.0192548,0.0143127,101,39,0
-0.9,0,0,-0.895646,-0.00190592,-0.0160864,0.00475271,0.0160864,6,2,1
-0.9,0,0,-0.900721,-0.0225478,-0.0435191,0.0225594,0.0435191,101,39,0
-0.9,0,0,-0.900017,0.0179139,0.0283846,0.0179139,0.0283846,101,38,0
-0.9,0,0,-0.896269,0.0170406,0.0297666,0.0174442,0.0297666,101,38,0
-0.9,0,0,-0.899516,0.0153693,0.0203795,0.0153769,0.0203795,101,37,0
-0.9,0,0,-0.899621,-0.0182064,-0.0374151,0.0182104,0.0374151,101,36,0
-0.9,0,0,-0.894741,0.0175268,0.0505651,0.0182988,0.0505651,101,36,0
-0.9,0,0,-0.89804,0.0113247,0.0110445,0.0114931,0.0110445,101,38,0
