True_DX,True_DY,True_Theta_Deg,Est_DX,Est_DY,Est_Theta_Deg,Error_Trans,Error_Theta,Iter,Time_ms,Converged
0,-1,0,0.00567976,-0.998908,-0.00998002,0.00578386,0.00998002,7,6,1
0,-1,0,-0.000769786,-0.976498,-0.22038,0.0235148,0.22038,4,1,1
0,-1,0,-0.00614408,-1.01746,-0.0264321,0.0185086,0.0264321,101,40,0
0,-1,0,0.00116997,-0.990898,-0.0535981,0.00917674,0.0535981,11,4,1
0,-1,0,0.0038877,-0.980331,0.0277405,0.0200499,0.0277405,101,37,0
0,-1,0,0.000554636,-0.996684,-0.00879591,0.0033616,0.00879591,14,5,1
0,-1,0,-0.00222599,-0.997523,-0.039657,0.00333038,0.039657,5,1,1
0,-1,0,-0.00204098,-0.996871,-0.0182503,0.00373578,0.0182503,8,3,1
0,-1,0,-0.00121098,-0.990576,-0.141292,0.00950111,0.141292,9,3,1
0,-1,0,0.00466379,-0.997691,-0.0328829,0.00520398,0.0328829,10,4,1
0,-1,0,0.00300662,-0.982282,0.0291939,0.0179713,0.0291939,101,37,0
0,-1,0,0.000539365,-0.994188,-0.0231348,0.00583707,0.0231348,7,2,1
0,-1,0,0.00705413,-0.997752,-0.0858936,0.00740352,0.0858936,10,3,1
0,-1,0,-0.000873131,-1.01821,-0.0328934,0.0182358,0.0328934,101,35,0
0,-1,0,-0.0147535,-0.978145,-0.202021,0.0263689,0.202021,9,3,1
0,-1,0,0.00334978,-0.981066,0.0213929,0.0192284,0.0213929,101,36,0
0,-1,0,-0.00460364,-1.01423,-0.0349621,0.0149532,0.0349621,101,35,0
0,-1,0,-0.000861632,-0.994582,-0.0210489,0.0054862,0.0210489,7,2,1
0,-1,0,-0.00454512,-1.02224,-0.0258085,0.0226967,0.0258085,101,35,0
0,-1,0,0.0042501,-0.984832,0.0526898,0.0157521,0.0526898,101,35,0
0,-0.9,0,0.00524029,-0.883598,-0.155094,0.0172188,0.155094,10,3,1
0,-0.9,0,-0.00263889,-0.861102,-0.324228,0.0389879,0.324228,6,2,1
0,-0.9,0,-0.00320207,-0.90555,0.0166186,0.00640729,0.0166186,5,1,1
0,-0.9,0,-0.0154847,-0.875688,-0.391512,0.028824,0.391512,3,1,1
0,-0.9,0,-0.000397024,-0.918603,-0.0212214,0.0186076,0.0212214,101,36,0
0,-0.9,0,0.00231193,-0.890862,-0.0511408,0.00942588,0.0511408,8,2,1
0,-0.9,0,-0.00363682,-0.904159,-0.0216614,0.00552459,0.0216614,10,4,1
0,-0.9,0,0.000353106,-0.905077,-0.0180605,0.00508914,0.0180605,47,16,1
0,-0.9,0,-0.00330506,-0.87098,-0.563159,0.0292072,0.563159,5,1,1
0,-0.9,0,-0.00465728,-0.91634,-0.0267064,0.0169909,0.0267064,101,38,0
0,-0.9,0,0.0132069,-0.886512,-0.262369,0.0188769,0.262369,4,1,1
0,-0.9,0,3.10364e-05,-0.917219,-0.0140096,0.0172195,0.0140096,101,35,0
0,-0.9,0,0.00194049,-0.880548,0.0182629,0.0195488,0.0182629,101,36,0
0,-0.9,0,-0.00495351,-0.919296,-0.0303998,0.0199212,0.0303998,101,36,0
0,-0.9,0,0.000590569,-0.884329,0.0166056,0.0156821,0.0166056,101,40,0
0,-0.9,0,0.00291696,-0.878392,0.033385,0.0218043,0.033385,101,42,0
0,-0.9,0,0.0032624,-0.8824,0.00709064,0.0179,0.00709064,101,40,0
0,-0.9,0,-0.000106719,-0.882689,0.0221414,0.0173111,0.0221414,101,42,0
0,-0.9,0,-0.00403131,-0.895954,-0.0238958,0.00571153,0.0238958,10,3,1
0,-0.9,0,0.00235781,-0.883257,0.00921097,0.0169083,0.00921097,101,37,0
0,-0.8,0,-0.000912867,-0.799104,-0.0172305,0.00127888,0.0172305,9,3,1
0,-0.8,0,9.68872e-05,-0.785062,0.0288356,0.0149381,0.0288356,101,38,0
0,-0.8,0,0.000708248,-0.778671,0.0392959,0.0213403,0.0392959,101,37,0
0,-0.8,0,-0.000195982,-0.805746,-0.017473,0.00574893,0.017473,92,32,1
0,-0.8,0,-0.00402774,-0.821812,-0.0416099,0.0221806,0.0416099,101,35,0
0,-0.8,0,-0.00313516,-0.797274,-0.0061599,0.00415438,0.0061599,10,3,1
0,-0.8,0,0.00247132,-0.780871,0.0309123,0.0192882,0.0309123,101,35,0
0,-0.8,0,0.0207518,-0.790227,-0.169592,0.0229378,0.169592,9,3,1
0,-0.8,0,0.00416801,-0.782655,0.0268868,0.0178387,0.0268868,101,36,0
0,-0.8,0,-0.000204035,-0.793745,0.0178454,0.00625804,0.0178454,80,29,1
0,-0.8,0,-0.00446605,-0.797679,0.0130344,0.0050333,0.0130344,5,1,1
0,-0.8,0,0.00179913,-0.783268,0.0474654,0.0168284,0.0474654,101,38,0
0,-0.8,0,0.00013071,-0.795852,-0.0467156,0.00414969,0.0467156,4,1,1
0,-0.8,0,0.00160813,-0.797468,-0.0274868,0.00299991,0.0274868,10,3,1
0,-0.8,0,0.00205879,-0.785223,-0.130527,0.0149196,0.130527,4,1,1
0,-0.8,0,0.00397073,-0.800028,-0.0339221,0.00397083,0.0339221,5,1,1
0,-0.8,0,-0.00341253,-0.817257,-0.0297529,0.0175914,0.0297529,101,42,0
0,-0.8,0,-2.29296e-05,-0.799195,-0.0544269,0.000805347,0.0544269,6,2,1
0,-0.8,0,0.000738542,-0.797348,0.0151356,0.00275335,0.0151356,91,36,1
0,-0.8,0,0.02465,-0.77454,-0.420114,0.0354377,0.420114,3,1,1
0,-0.7,0,-0.00137952,-0.722384,-0.036727,0.0224266,0.036727,101,39,0
0,-0.7,0,0.00669858,-0.699555,-0.0144648,0.00671335,0.0144648,7,3,1
0,-0.7,0,-0.0215716,-0.673746,-0.330606,0.0339796,0.330606,3,1,1
0,-0.7,0,0.0052717,-0.686514,0.0375738,0.0144793,0.0375738,101,39,0
0,-0.7,0,-0.000938094,-0.711083,-0.0213134,0.0111227,0.0213134,101,37,0
0,-0.7,0,-0.00480492,-0.660138,-0.347941,0.0401503,0.347941,3,1,1
0,-0.7,0,0.000698184,-0.692131,-0.0223266,0.00790019,0.0223266,7,2,1
0,-0.7,0,-0.00103795,-0.696929,-0.0197905,0.00324196,0.0197905,12,4,1
0,-0.7,0,0.0029857,-0.69833,-0.013423,0.00342081,0.013423,7,2,1
0,-0.7,0,0.00384721,-0.68391,0.0245677,0.0165431,0.0245677,101,38,0
0,-0.7,0,0.000386205,-0.695319,-0.0329239,0.00469643,0.0329239,9,3,1
0,-0.7,0,-0.00303978,-0.713592,-0.00952632,0.013928,0.00952632,101,37,0
0,-0.7,0,0.00371215,-0.697391,-0.0110384,0.00453736,0.0110384,9,3,1
0,-0.7,0,0.0055714,-0.682077,0.0292347,0.0187693,0.0292347,101,37,0
0,-0.7,0,-0.00269919,-0.697181,-0.0434377,0.00390289,0.0434377,9,3,1
0,-0.7,0,0.00485104,-0.681608,0.012246,0.019021,0.012246,101,37,0
0,-0.7,0,0.000551669,-0.699013,-0.0273572,0.00113065,0.0273572,7,2,1
0,-0.7,0,0.00593867,-0.701198,-0.0115485,0.00605828,0.0115485,6,2,1
0,-0.7,0,0.00217076,-0.68101,0.0252711,0.0191136,0.0252711,101,37,0
0,-0.7,0,0.00156412,-0.70415,-0.0210325,0.00443532,0.0210325,7,2,1
0,-0.6,0,-0.00326008,-0.595161,-0.0221755,0.00583492,0.0221755,9,3,1
0,-0.6,0,-0.00388505,-0.597339,-0.0114256,0.004709,0.0114256,8,2,1
0,-0.6,0,-0.0027356,-0.603359,-0.0256801,0.00433214,0.0256801,5,2,1
0,-0.6,0,-0.000274569,-0.607295,0.00665268,0.00730035,0.00665268,3,1,1
0,-0.6,0,0.000146768,-0.579052,0.0403691,0.0209485,0.0403691,101,40,0
0,-0.6,0,-0.00454918,-0.600447,-0.0161644,0.00457104,0.0161644,7,3,1
0,-0.6,0,-0.00302045,-0.602477,-0.0206348,0.00390653,0.0206348,11,4,1
0,-0.6,0,0.0033503,-0.585726,0.00788741,0.0146615,0.00788741,101,38,0
0,-0.6,0,-0.00160232,-0.623597,-0.0494834,0.0236514,0.0494834,101,39,0
0,-0.6,0,0.00327802,-0.562774,-0.318413,0.0373704,0.318413,6,2,1
0,-0.6,0,-0.00181728,-0.597387,-0.0124569,0.00318287,0.0124569,5,1,1
0,-0.6,0,0.000217784,-0.600307,-0.0206408,0.000376405,0.0206408,11,4,1
0,-0.6,0,-0.00174767,-0.616993,-0.0241749,0.0170826,0.0241749,101,42,0
0,-0.6,0,0.00896943,-0.577899,-0.204469,0.0238519,0.204469,4,1,1
0,-0.6,0,-0.00119708,-0.579764,0.0170609,0.0202716,0.0170609,101,37,0
0,-0.6,0,0.000900408,-0.592689,-0.00652258,0.00736637,0.00652258,7,3,1
0,-0.6,0,0.00113086,-0.59996,-0.0327636,0.00113156,0.0327636,10,3,1
0,-0.6,0,0.00185403,-0.580984,0.0267246,0.0191065,0.0267246,101,37,0
0,-0.6,0,0.00944367,-0.587726,-0.101315,0.0154868,0.101315,7,2,1
0,-0.6,0,0.00361753,-0.584182,-0.143515,0.0162262,0.143515,5,1,1
0,-0.5,0,0.003223,-0.494886,-0.00971052,0.00604483,0.00971052,10,4,1
0,-0.5,0,-0.00461554,-0.49488,-0.00150375,0.00689338,0.00150375,7,2,1
0,-0.5,0,0.0188586,-0.481924,-0.384576,0.0261227,0.384576,5,1,1
0,-0.5,0,0.000581381,-0.481197,0.0271082,0.0188116,0.0271082,101,37,0
0,-0.5,0,0.000652602,-0.482072,0.0161648,0.0179402,0.0161648,101,38,0
0,-0.5,0,-0.00486153,-0.517954,-0.015645,0.0186003,0.015645,101,37,0
0,-0.5,0,0.00473318,-0.47963,-0.248195,0.0209128,0.248195,5,2,1
0,-0.5,0,-0.00457549,-0.510028,-0.0336089,0.0110226,0.0336089,101,36,0
0,-0.5,0,0.00020893,-0.511243,-0.010019,0.011245,0.010019,101,35,0
0,-0.5,0,0.00210279,-0.504782,-0.0234836,0.00522393,0.0234836,7,2,1
0,-0.5,0,-0.00214154,-0.484147,-0.117302,0.0159972,0.117302,3,1,1
0,-0.5,0,-0.00315648,-0.521221,-0.03659,0.0214542,0.03659,101,36,0
0,-0.5,0,0.0123245,-0.494827,-0.127796,0.0133662,0.127796,6,2,1
0,-0.5,0,-0.00298177,-0.50465,-0.0213592,0.00552383,0.0213592,7,2,1
0,-0.5,0,0.00102557,-0.503946,-0.0198778,0.00407673,0.0198778,6,2,1
0,-0.5,0,0.00189732,-0.499327,-0.0310345,0.00201312,0.0310345,6,2,1
0,-0.5,0,0.00152196,-0.498702,-0.0282028,0.00200025,0.0282028,6,2,1
